epochs,score,training seconds
1,84.26659292200236,1.3517224788665771
2,115.63509362316347,0.22324037551879883
3,193.29818501546632,0.28993701934814453
4,72.18230129966966,0.35420918464660645
5,90.78100524443745,0.5076103210449219
6,154.62732516501026,0.6131608486175537
7,327.1465560640343,0.6602838039398193
8,248.40206064144334,0.701777458190918
9,296.9774375249323,0.8639400005340576
10,477.32957244289116,0.9495606422424316
11,472.62775988610053,1.0211172103881836
12,370.8869980669407,1.0523247718811035
13,480.2485117766507,1.1938462257385254
14,461.83238153104014,1.2949540615081787
15,482.8149410439462,1.3179395198822021
16,481.8260498659366,1.5713603496551514
17,495.737884149302,1.5947012901306152
18,471.9088301728775,1.6092298030853271
19,480.08668630859245,1.7278873920440674
20,461.9956445143578,1.8345537185668945
21,462.96177445369574,1.9100055694580078
22,493.88248423695933,2.0446579456329346
23,489.8791275398366,2.253725051879883
24,476.8612603794088,2.354562282562256
25,500.0,2.378750801086426
26,500.0,2.4739489555358887
27,500.0,2.593533754348755
28,500.0,2.451874256134033
29,500.0,2.796149253845215
30,500.0,2.8435466289520264
