obs,acts,infos,rews,terminal
"[-0.03953930363059044, 0.049123913049697876, 0.001270302222110331, 0.01013422291725874]",1,{},1.0,True
"[-0.03855682536959648, 0.24422761797904968, 0.0014729866525158286, -0.2821476459503174]",1,{},1.0,True
"[-0.0336722731590271, 0.43932852149009705, -0.004169966094195843, -0.5743656158447266]",0,{},1.0,True
"[-0.02488570287823677, 0.24426528811454773, -0.015657277777791023, -0.28299927711486816]",0,{},1.0,True
"[-0.02000039629638195, 0.04937012493610382, -0.021317264065146446, 0.004704591818153858]",1,{},1.0,True
"[-0.019012995064258575, 0.2447912096977234, -0.021223172545433044, -0.29462721943855286]",0,{},1.0,True
"[-0.014117170125246048, 0.04997815564274788, -0.02711571753025055, -0.00871261116117239]",1,{},1.0,True
"[-0.013117607682943344, 0.2454782873392105, -0.027289969846606255, -0.3098260462284088]",1,{},1.0,True
"[-0.00820804201066494, 0.44097819924354553, -0.033486489206552505, -0.610988974571228]",0,{},1.0,True
"[0.0006115223513916135, 0.24633991718292236, -0.04570626839995384, -0.3290384113788605]",0,{},1.0,True
"[0.005538320634514093, 0.05189742147922516, -0.052287038415670395, -0.05111224204301834]",0,{},1.0,True
"[0.006576268933713436, -0.14243732392787933, -0.05330928415060043, 0.2246260941028595]",1,{},1.0,True
"[0.0037275226786732674, 0.05340441316366196, -0.04881676286458969, -0.08438468724489212]",0,{},1.0,True
"[0.0047956109046936035, -0.14098501205444336, -0.05050445348024368, 0.19250567257404327]",1,{},1.0,True
"[0.0019759105052798986, 0.054821670055389404, -0.046654339879751205, -0.11567185819149017]",0,{},1.0,True
"[0.003072343999519944, -0.13960182666778564, -0.04896777868270874, 0.16193464398384094]",1,{},1.0,True
"[0.0002803075476549566, 0.05618569627404213, -0.04572908580303192, -0.1457853764295578]",0,{},1.0,True
"[0.0014040215173736215, -0.13825255632400513, -0.048644792288541794, 0.13212744891643524]",0,{},1.0,True
"[-0.0013610298046842217, -0.3326451778411865, -0.04600224271416664, 0.4090754985809326]",1,{},1.0,True
"[-0.008013932965695858, -0.13690221309661865, -0.037820734083652496, 0.10225179046392441]",1,{},1.0,True
"[-0.010751977562904358, 0.058740776032209396, -0.035775698721408844, -0.20211946964263916]",1,{},1.0,True
"[-0.009577161632478237, 0.25435563921928406, -0.039818085730075836, -0.5058698058128357]",0,{},1.0,True
"[-0.004490049090236425, 0.059816744178533554, -0.049935482442379, -0.225996196269989]",0,{},1.0,True
"[-0.0032937144860625267, -0.13455730676651, -0.054455406963825226, 0.05052650347352028]",0,{},1.0,True
"[-0.005984860472381115, -0.3288578391075134, -0.05344487726688385, 0.3255433142185211]",1,{},1.0,True
