obs,acts,infos,rews,terminal
"[0.00665359478443861, 1.4205363988876343, 0.6739153265953064, 0.42736878991127014, -0.007702990435063839, -0.1526518166065216, 0.0, 0.0]",1,{},0.6859968,True
"[0.013233184814453125, 1.4295873641967773, 0.663699746131897, 0.40222635865211487, -0.013378393836319447, -0.11351732909679413, 0.0, 0.0]",1,{},0.74227244,True
"[0.01975078508257866, 1.4380333423614502, 0.6559184789657593, 0.3753373324871063, -0.01748812198638916, -0.08220211416482925, 0.0, 0.0]",1,{},1.1556172,True
"[0.0261858943849802, 1.4458873271942139, 0.6455603241920471, 0.3490375280380249, -0.01951598934829235, -0.040560729801654816, 0.0, 0.0]",1,{},1.32206,True
"[0.03254251554608345, 1.4531478881835938, 0.6357073187828064, 0.32269158959388733, -0.019565366208553314, -0.0009876699186861515, 0.0, 0.0]",1,{},1.7528259,True
"[0.03880367428064346, 1.4598188400268555, 0.6237298846244812, 0.2965169847011566, -0.017210181802511215, 0.04710830748081207, 0.0, 0.0]",1,{},1.787072,True
"[0.0449865348637104, 1.4658852815628052, 0.6139168739318848, 0.26966172456741333, -0.01289164274930954, 0.08637886494398117, 0.0, 0.0]",1,{},2.1678433,True
"[0.05107583850622177, 1.4713627099990845, 0.6021846532821655, 0.24348831176757812, -0.006222119554877281, 0.13340309262275696, 0.0, 0.0]",1,{},1.6639453,True
"[0.05709237977862358, 1.4762415885925293, 0.5930617451667786, 0.21685171127319336, 0.0022705516312271357, 0.16986891627311707, 0.0, 0.0]",0,{},-0.4331083,True
"[0.06310863792896271, 1.4805214405059814, 0.5930357575416565, 0.1901785284280777, 0.010761592537164688, 0.16983650624752045, 0.0, 0.0]",1,{},0.26821008,True
"[0.06904516369104385, 1.484189510345459, 0.5830496549606323, 0.1629171371459961, 0.021250901743769646, 0.20980548858642578, 0.0, 0.0]",1,{},0.103573106,True
"[0.0748937577009201, 1.4872589111328125, 0.5720201730728149, 0.13618172705173492, 0.03394244238734245, 0.2538541257381439, 0.0, 0.0]",0,{},-0.9824606,True
"[0.08074188232421875, 1.4897302389144897, 0.5719824433326721, 0.1095011904835701, 0.04663138464093208, 0.2538021206855774, 0.0, 0.0]",1,{},-0.18873817,True
"[0.0865015983581543, 1.4915872812271118, 0.5609062910079956, 0.08199616521596909, 0.06154375523328781, 0.29827436804771423, 0.0, 0.0]",1,{},-0.67703164,True
"[0.09219322353601456, 1.4928430318832397, 0.5524019598960876, 0.05503614619374275, 0.07815148681402206, 0.33218514919281006, 0.0, 0.0]",0,{},-1.556926,True
"[0.09788427501916885, 1.4935023784637451, 0.552355170249939, 0.02834504470229149, 0.09475614875555038, 0.3321235775947571, 0.0, 0.0]",0,{},-1.6277664,True
"[0.1035744696855545, 1.493565320968628, 0.5523092746734619, 0.0016532314475625753, 0.11135832220315933, 0.33207401633262634, 0.0, 0.0]",3,{},-2.6008625,True
"[0.10935115814208984, 1.4930360317230225, 0.5631893873214722, -0.024667030200362206, 0.12576650083065033, 0.28818973898887634, 0.0, 0.0]",0,{},-1.5476125,True
"[0.11512718349695206, 1.4919095039367676, 0.5631521940231323, -0.051354583352804184, 0.14017325639724731, 0.2881612479686737, 0.0, 0.0]",1,{},-0.861386,True
"[0.12082157284021378, 1.4901596307754517, 0.5529283285140991, -0.07940571755170822, 0.15667031705379486, 0.3299712538719177, 0.0, 0.0]",3,{},-2.6139784,True
"[0.12658576667308807, 1.4878178834915161, 0.5617204904556274, -0.1056865006685257, 0.1713910847902298, 0.29444193840026855, 0.0, 0.0]",3,{},-2.452174,True
"[0.13241815567016602, 1.484900712966919, 0.5703765749931335, -0.1311957687139511, 0.18431851267814636, 0.25857171416282654, 0.0, 0.0]",3,{},-2.3839953,True
"[0.13832636177539825, 1.481400489807129, 0.5799185037612915, -0.15695573389530182, 0.19529452919960022, 0.21953999996185303, 0.0, 0.0]",3,{},-2.0979383,True
"[0.1442979872226715, 1.4773187637329102, 0.5879111289978027, -0.1826535165309906, 0.2046213001012802, 0.18655213713645935, 0.0, 0.0]",3,{},-2.080305,True
"[0.1503456085920334, 1.472650170326233, 0.5974487066268921, -0.20851697027683258, 0.21200917661190033, 0.14777065813541412, 0.0, 0.0]",2,{},0.3557088,True
"[0.15627384185791016, 1.4678823947906494, 0.5860974788665771, -0.2128782570362091, 0.21880987286567688, 0.13602285087108612, 0.0, 0.0]",1,{},-0.5449881,True
